Baseline Natural Flux	Atmospheric Lifetime of N2O	Effective Sensitivity of Temperature on N2O Flux	
   9430575.9	   195.74928	 0.050987574	
   9346144.2	   197.78845	 0.059983806	
   9282253.6	   199.76071	        0.06	
   9325536.8	   197.64331	 0.059995581	
   9960602.6	   190.69356	 0.040254357	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9374662.5	   197.31642	        0.06	
   9600345.2	   192.77657	        0.06	
    12054582	   160.85277	 0.059972698	
   9430575.9	   195.74928	 0.050987574	
   9346144.2	   197.78845	 0.059983806	
   9282253.6	   199.76071	        0.06	
   9325536.8	   197.64331	 0.059995581	
   9960602.6	   190.69356	 0.040334292	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9374662.5	   197.31642	        0.06	
   9605863.2	   192.85093	        0.06	
    12054582	   160.85277	 0.059972698	
   9430575.9	   195.74928	 0.050987574	
   9346144.2	   197.78845	 0.059983806	
   9282253.6	   199.76071	        0.06	
   9325536.8	   197.64331	 0.059995581	
   9960602.6	   190.69356	 0.040334292	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9374662.5	   197.31642	        0.06	
   9508735.2	   194.50829	 0.059725166	
    12054582	   160.85277	 0.059972698	
   9430575.9	   195.74928	 0.050987574	
   9346144.2	   197.78845	 0.059983806	
   9282253.6	   199.76071	        0.06	
   9325536.8	   197.64331	 0.059995581	
   9960602.6	   190.69356	 0.040334292	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9374662.5	   197.31642	        0.06	
   9508735.2	   194.50829	 0.059725166	
    12054582	   160.85277	 0.059972698	
   9430575.9	   195.74928	 0.050987574	
   9346144.2	   197.78845	 0.059983806	
   9282253.6	   199.76071	        0.06	
   9325536.8	   197.64331	 0.059995581	
   9960602.6	   190.69356	 0.040334292	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9374662.5	   197.31642	        0.06	
   9508735.2	   194.50829	 0.059725166	
    12054582	   160.85277	 0.059972698	
   9430575.9	   195.74928	 0.050987574	
   9346144.2	   197.78845	 0.059983806	
   9282253.6	   199.76071	        0.06	
   9325536.8	   197.64331	 0.059995581	
   9816249.8	   193.61323	 0.046456972	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9374662.5	   197.31642	        0.06	
   9508735.2	   194.50829	 0.059725166	
    12054582	   160.85277	 0.059972698	
   9430575.9	   195.74928	 0.050987574	
   9346144.2	   197.78845	 0.059983806	
   9282253.6	   199.76071	        0.06	
   9325536.8	   197.64331	 0.059995581	
   9816249.8	   193.61323	 0.046456972	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9374662.5	   197.31642	        0.06	
   9508735.2	   194.50829	 0.059725166	
    12054582	   160.85277	 0.059972698	
   9430575.9	   195.74928	 0.050987574	
   9201884.8	         200	        0.06	
   9282253.6	   199.76071	        0.06	
   9325536.8	   197.64331	 0.059995581	
   9816249.8	   193.61323	 0.046456972	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9374662.5	   197.31642	        0.06	
   9508735.2	   194.50829	 0.059725166	
    12054582	   160.85277	 0.059972698	
   9430575.9	   195.74928	 0.050987574	
   9201884.8	         200	        0.06	
   9282253.6	   199.76071	        0.06	
     9328394	   198.48807	        0.06	
   9816249.8	   193.61323	 0.046456972	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9374662.5	   197.31642	        0.06	
   9508735.2	   194.50829	 0.059725166	
    12054582	   160.85277	 0.059972698	
   9430575.9	   195.74928	 0.050987574	
   9201884.8	         200	        0.06	
   9282253.6	   199.76071	        0.06	
     9328394	   198.48807	        0.06	
   9816249.8	   193.61323	 0.046456972	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9374662.5	   197.31642	        0.06	
   9508735.2	   194.50829	 0.059725166	
    12054582	   160.85277	        0.06	
   9430575.9	   195.74928	 0.051159407	
   9201884.8	         200	        0.06	
   9282253.6	   199.76071	        0.06	
     9328394	   198.48807	        0.06	
   9816249.8	   193.61323	 0.046456972	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9374662.5	   197.31642	        0.06	
   9508735.2	   194.50829	 0.059725166	
    12054582	   160.85277	        0.06	
   9430575.9	   195.74928	 0.051159407	
   9201884.8	         200	        0.06	
   9282253.6	   199.76071	        0.06	
     9328394	   198.48807	        0.06	
   9816249.8	   193.61323	 0.046456972	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9374662.5	   197.31642	        0.06	
   9508735.2	   194.50829	 0.059725166	
    12054582	   160.85277	        0.06	
   9430575.9	   195.74928	 0.051159407	
   9201884.8	         200	        0.06	
   9282253.6	   199.76071	        0.06	
     9328394	   198.48807	        0.06	
   9816249.8	   193.61323	 0.046456972	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9374662.5	   197.31642	        0.06	
   9508735.2	   194.50829	 0.059725166	
    12054582	   160.85277	        0.06	
   9341237.1	   198.29755	 0.051119513	
   9201884.8	         200	        0.06	
   9282253.6	   199.76071	        0.06	
     9328394	   198.48807	        0.06	
   9919694.2	   190.24215	 0.046456972	
   9224799.7	         200	        0.06	
    10262898	   183.80291	        0.06	
   9374662.5	   197.31642	        0.06	
   9508735.2	   194.50829	 0.059725166	
    12054582	   160.85277	        0.06	
   9341237.1	   198.29755	 0.051119513	
   9201884.8	         200	        0.06	
   9282253.6	   199.76071	        0.06	
   9254240.4	         200	        0.06	
   9919694.2	   190.24215	 0.046456972	
   9224799.7	         200	        0.06	
   9807229.6	   191.10348	        0.06	
   9374662.5	   197.31642	        0.06	
   9508735.2	   194.50829	 0.059725166	
    12054582	   160.85277	        0.06	
   9341237.1	   198.29755	 0.051119513	
   9201884.8	         200	        0.06	
   9282253.6	   199.76071	        0.06	
   9254240.4	         200	        0.06	
   9919694.2	   190.24215	 0.046456972	
   9224799.7	         200	        0.06	
   9807229.6	   191.10348	        0.06	
   9374662.5	   197.31642	        0.06	
   9508735.2	   194.50829	 0.059725166	
    12054582	   160.85277	        0.06	
   9341237.1	   198.29755	 0.051119513	
   9203869.4	         200	 0.059991948	
   9282253.6	   199.76071	        0.06	
   9254240.4	         200	        0.06	
   9920671.7	   189.75608	 0.052502497	
   9224799.7	         200	        0.06	
   9807229.6	   191.10348	        0.06	
   9374662.5	   197.31642	        0.06	
     9642234	   192.69806	 0.059774615	
    12054582	   160.85277	        0.06	
   9376728.3	   198.33679	 0.051118225	
   9203869.4	         200	 0.059991948	
   9282253.6	   199.76071	        0.06	
   9254240.4	         200	        0.06	
   9920671.7	   189.75608	 0.052502497	
   9224799.7	         200	        0.06	
   9807229.6	   191.10348	        0.06	
   9374662.5	   197.31642	        0.06	
     9642234	   192.69806	 0.059774615	
    12054582	   160.85277	        0.06	
   9376728.3	   198.33679	 0.051118225	
   9203869.4	         200	 0.059991948	
   9282253.6	   199.76071	        0.06	
   9254240.4	         200	        0.06	
   9920671.7	   189.75608	  0.05256699	
   9224799.7	         200	        0.06	
   9807229.6	   191.10348	        0.06	
   9374662.5	   197.31642	        0.06	
     9642234	   192.69806	 0.059774615	
    12054582	   160.85277	        0.06	
   9376728.3	   198.33679	 0.051118225	
   9203869.4	         200	 0.059991948	
   9282253.6	   199.76071	        0.06	
   9254240.4	         200	        0.06	
   9920671.7	   189.75608	  0.05256699	
   9224799.7	         200	        0.06	
   9218931.1	   199.94702	        0.06	
   9374662.5	   197.31642	        0.06	
     9642234	   192.69806	 0.059774615	
